CBSeg2003,CBSeg2003Description,Station,Latitude,Longitude,FieldActivityId,SampleDate,SampleTime,Layer,TotalDepth,BiologicalEventId,Source,SampleReplicate,IBIParameter,IBIValue,ProjectIdentifier,Units,SampleVolume,PDepth,Salzone
CB8PH ,Chesapeake Bay-Polyhaline Region,11M27,36.98756,-76.19004,214998,7/15/2004,08:15:00,B ,10.36,68560,ODU/BEL,S1,PCT_CARN_OMN,19.40298,BEN,Centimeter,7.0,10.36,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M27,36.98756,-76.19004,214998,7/15/2004,08:15:00,B ,10.36,68560,ODU/BEL,S1,PCT_PI_BIO,7.84314,BEN,Centimeter,7.0,10.36,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M27,36.98756,-76.19004,214998,7/15/2004,08:15:00,B ,10.36,68560,ODU/BEL,S1,PCT_PS_BIO,70.58823,BEN,Centimeter,7.0,10.36,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M27,36.98756,-76.19004,214998,7/15/2004,08:15:00,B ,10.36,68560,ODU/BEL,S1,SW,3.30875,BEN,Centimeter,7.0,10.36,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M27,36.98756,-76.19004,214998,7/15/2004,08:15:00,B ,10.36,68560,ODU/BEL,S1,TOT_ABUND,7613.63623,BEN,Centimeter,7.0,10.36,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M27,36.98756,-76.19004,214998,7/15/2004,08:15:00,B ,10.36,68560,ODU/BEL,S1,TOT_BIOMASS_G,2.31818,BEN,Centimeter,7.0,10.36,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M27,36.98756,-76.19004,214998,7/15/2004,08:15:00,B ,10.36,68560,ODU/BEL,S1,TOTAL_SCORE,3.3,BEN,Centimeter,7.0,10.36,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M05,36.97637,-76.13272,215001,7/15/2004,08:35:00,,10.36,68561,ODU/BEL,S1,PCT_DEPO,65.8296,BEN,,,,
CB8PH ,Chesapeake Bay-Polyhaline Region,11M05,36.97637,-76.13272,215001,7/15/2004,08:35:00,,10.36,68561,ODU/BEL,S1,PCT_PI_BIO,12.24209,BEN,,,,
CB8PH ,Chesapeake Bay-Polyhaline Region,11M05,36.97637,-76.13272,215001,7/15/2004,08:35:00,,10.36,68561,ODU/BEL,S1,PCT_PS_ABUND,69.95515,BEN,,,,
CB8PH ,Chesapeake Bay-Polyhaline Region,11M05,36.97637,-76.13272,215001,7/15/2004,08:35:00,,10.36,68561,ODU/BEL,S1,SW,2.70117,BEN,,,,
CB8PH ,Chesapeake Bay-Polyhaline Region,11M05,36.97637,-76.13272,215001,7/15/2004,08:35:00,,10.36,68561,ODU/BEL,S1,TOT_ABUND,25340.9082,BEN,,,,
CB8PH ,Chesapeake Bay-Polyhaline Region,11M05,36.97637,-76.13272,215001,7/15/2004,08:35:00,,10.36,68561,ODU/BEL,S1,TOT_BIOMASS_G,16.52273,BEN,,,,
CB8PH ,Chesapeake Bay-Polyhaline Region,11M05,36.97637,-76.13272,215001,7/15/2004,08:35:00,,10.36,68561,ODU/BEL,S1,TOTAL_SCORE,3.67,BEN,,,,
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,ASPT_MOD,5.3,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,ASPT_MOD_R,5.4,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,BECK,4.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,BECK_R,3.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,DIPTERA_TAXA_CNT,3.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,DIPTERA_TAXA_CNT_R,3.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPHEMEROPTERA_TAXA_CNT,1.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPHEMEROPTERA_TAXA_CNT_R,1.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPT_TAXA_ABUND,32.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPT_TAXA_ABUND_R,28.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPT_TAXA_COUNT,5.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPT_TAXA_COUNT_NO_TOL,5.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPT_TAXA_COUNT_NO_TOL_R,4.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,EPT_TAXA_COUNT_R,4.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,FBI,5.62,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,FBI_R,5.61,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,FSW,1.9828,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,FSW_R,1.9781,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,GOLD,0.3571,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,GOLD_R,0.36,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,MARGALEFS,2.967,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,MARGALEFS_R,2.8229,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,NCO_TAXA_CNT,12.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,NCO_TAXA_CNT_R,11.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,NON_INSECT_TAXA_CNT,4.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,NON_INSECT_TAXA_CNT_R,4.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_BURROWER,41.96,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_BURROWER_R,41.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CHIRONOMIDAE,57.14,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CHIRONOMIDAE_R,56.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CLIMB,2.68,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CLIMB_R,2.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CLING,58.93,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CLING_R,60.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CLINGER_TAXA,53.33,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_CLINGER_TAXA_R,50.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_COLLECT,80.36,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_COLLECT_R,80.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DEPO,72.14076,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DIPTERA,62.5,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DIPTERA_R,62.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DOM1,34.82,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DOM1_R,33.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DOM2,57.14,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DOM2_R,56.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DOM3,67.86,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_DOM3_R,67.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_EPHEMEROPTERA,1.79,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_EPHEMEROPTERA_R,1.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_EPT,28.57,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_EPT_R,28.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_EPT_TAXA_RICH,33.33,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_EPT_TAXA_RICH_R,28.57,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_FILTERERS,16.07,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_FILTERERS_R,17.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_GATHER,64.29,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_GATHER_R,63.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_LIMESTONE,3.57,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_LIMESTONE_R,3.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_NET_CADDISFLY,15.18,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_NET_CADDISFLY_R,16.0,BEN,Centimeter,7.0,7.92,P
CB8PH ,Chesapeake Bay-Polyhaline Region,11M03,36.92971,-76.10906,215004,7/15/2004,08:57:00,B ,7.92,68562,ODU/BEL,S1,PCT_NON_INSECT,4.46,BEN,Centimeter,7.0,7.92,P
