CBSeg2003,CBSeg2003Description,Station,Latitude,Longitude,EventId,Source,SampleType,TotalDepth,SampleReplicate,SampleDate,ReportingParameter,ReportedValue,ReportingUnits
MOBPH ,Mobjack Bay-Polyhaline Region,11M11,37.36423,-76.45074,215474.0,ODU/BEL,D,4.0,S1,8/24/2004,VOLORG,7.1254,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11M11,37.36423,-76.45074,215474.0,ODU/BEL,D,4.0,S1,8/24/2004,SAND,5.9365,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11GB06,37.37486,-76.38321,215479.0,ODU/BEL,D,6.4,S1,8/24/2004,VOLORG,8.3394,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11M11,37.36423,-76.45074,215474.0,ODU/BEL,D,4.0,S1,8/24/2004,SILTCLAY,94.0635,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,P11GB06,37.37486,-76.38321,215476.0,ODU/BEL,D,6.4,S1,8/24/2004,VOLORG,8.3394,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11GB06,37.37486,-76.38321,215479.0,ODU/BEL,D,6.4,S1,8/24/2004,SAND,1.0049,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,P11GB08,37.37694,-76.38737,215484.0,ODU/BEL,D,6.2,S1,8/24/2004,VOLORG,4.3124,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11GB06,37.37486,-76.38321,215479.0,ODU/BEL,D,6.4,S1,8/24/2004,SILTCLAY,98.9951,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11GB08,37.37694,-76.38737,215482.0,ODU/BEL,D,6.2,S1,8/24/2004,VOLORG,4.3124,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,P11GB06,37.37486,-76.38321,215476.0,ODU/BEL,D,6.4,S1,8/24/2004,SAND,1.0049,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,P11GB06,37.37486,-76.38321,215476.0,ODU/BEL,D,6.4,S1,8/24/2004,SILTCLAY,98.9951,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,P11GB08,37.37694,-76.38737,215484.0,ODU/BEL,D,6.2,S1,8/24/2004,SAND,98.4347,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,P11GB08,37.37694,-76.38737,215484.0,ODU/BEL,D,6.2,S1,8/24/2004,SILTCLAY,1.5653,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11GB08,37.37694,-76.38737,215482.0,ODU/BEL,D,6.2,S1,8/24/2004,SAND,98.4347,PCT
MOBPH ,Mobjack Bay-Polyhaline Region,11GB08,37.37694,-76.38737,215482.0,ODU/BEL,D,6.2,S1,8/24/2004,SILTCLAY,1.5653,PCT
