CBSeg2003,CBSeg2003Description,Station,Latitude,Longitude,HUC8,CatalogingUnitDescription,EventId,Source,SampleType,SampleDate,GMethod,TSN,LifeStageDescription,LatinName,ReportingValue,ReportingUnit
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11622,39.43029,-76.0716,,,68885.0,VERSAR/EME/BEL,D,9/1/2004,97.0,92149.0,89.0,Cyathura polita,3.0,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11623,39.43749,-76.05629,,,68884.0,VERSAR/EME/BEL,D,9/1/2004,97.0,573739.0,89.0,Marenzelleria viridis,0.0102,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11622,39.43029,-76.0716,,,68885.0,VERSAR/EME/BEL,D,9/1/2004,97.0,92149.0,89.0,Cyathura polita,0.0008,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11623,39.43749,-76.05629,,,68884.0,VERSAR/EME/BEL,D,9/1/2004,97.0,80962.0,89.0,Rangia cuneata,149.0,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11623,39.43749,-76.05629,,,68884.0,VERSAR/EME/BEL,D,9/1/2004,97.0,128010.0,79.0,Coelotanypus,9.0,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11622,39.43029,-76.0716,,,68885.0,VERSAR/EME/BEL,D,9/1/2004,97.0,68585.0,248.0,Tubificidae,14.0,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11623,39.43749,-76.05629,,,68884.0,VERSAR/EME/BEL,D,9/1/2004,97.0,81427.0,79.0,Musculium,5e-05,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11623,39.43749,-76.05629,,,68884.0,VERSAR/EME/BEL,D,9/1/2004,97.0,70493.0,89.0,Hydrobiidae,5e-05,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11622,39.43029,-76.0716,,,68885.0,VERSAR/EME/BEL,D,9/1/2004,97.0,93779.0,89.0,Gammarus daiberi,0.0008,CM
CB1TF ,Chesapeake Bay-Tidal Fresh Region,11622,39.43029,-76.0716,,,68885.0,VERSAR/EME/BEL,D,9/1/2004,97.0,81387.0,89.0,Corbicula fluminea,7.0,CM
