CBSeg2003,CBSeg2003Description,Station,Latitude,Longitude,EventId,Source,SampleType,SampleDate,SampleDepth,SampleReplicate,ReportedParameter,ReportedValue,ReportedUnits,WQMethod
MOBPH ,Mobjack Bay-Polyhaline Region,11M11,37.36423,-76.45074,215473.0,ODU/BEL,ISM,8/24/2004,4.0,M1,DO,5.7,MG/L,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11M11,37.36423,-76.45074,215473.0,ODU/BEL,ISM,8/24/2004,4.0,M1,SALINITY,16.0,PSU,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11GB06,37.37486,-76.38321,215478.0,ODU/BEL,ISM,8/24/2004,6.4,M1,DO,5.5,MG/L,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11GB06,37.37486,-76.38321,215478.0,ODU/BEL,ISM,8/24/2004,6.4,M1,SALINITY,17.1,PSU,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11GB08,37.37694,-76.38737,215481.0,ODU/BEL,ISM,8/24/2004,6.2,M1,DO,4.9,MG/L,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11GB08,37.37694,-76.38737,215481.0,ODU/BEL,ISM,8/24/2004,6.2,M1,SALINITY,17.1,PSU,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11M11,37.36423,-76.45074,215473.0,ODU/BEL,ISM,8/24/2004,4.0,M1,WTEMP,26.7,DEG C,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11GB06,37.37486,-76.38321,215478.0,ODU/BEL,ISM,8/24/2004,6.4,M1,WTEMP,26.3,DEG C,F01 
MOBPH ,Mobjack Bay-Polyhaline Region,11GB08,37.37694,-76.38737,215481.0,ODU/BEL,ISM,8/24/2004,6.2,M1,WTEMP,26.4,DEG C,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,16.2,M1,SPCOND,24730.0,UMHOS/CM,F01 
TANMH ,Tangier Sound-Mesohaline Region,11505,38.06309,-75.921,215605.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,23960.0,UMHOS/CM,F01 
